Title,Price,Location,Date
Modèle instagram et Tik Tok,Non défini,"Almadies, Dakar","Aujourd'hui, 15:44"
Vidéaste / Community Manager expert,Entre 100 000 et 200 000,"Almadies, Dakar","Aujourd'hui, 14:47"
Nounou professionnelle,Entre 100 000 et 200 000,"Sacré-cœur, Dakar","Aujourd'hui, 07:06"
Recherche ingénieur biomédical,Entre 100 000 et 200 000,"Cité Damel, Dakar","Hier, 15:09"
Coiffeuse,Entre 100 000 et 200 000,"Sacré-cœur, Dakar","Hier, 09:16"
Stagiaire Community Manager,Entre 100 000 et 200 000,"Hann maristes, Dakar","samedi, 14:47"
Recherche un livreur,Entre 100 000 et 200 000,"Ouakam, Dakar","samedi, 08:30"
Offre d'emploi : Educatrice,Non défini,"Zac Mbao, Dakar","vendredi, 17:27"
Assistante de direction,Non défini,"Dieuppeul, Dakar","vendredi, 10:35"
Gouvernante experimentée,Non défini,"Almadies, Dakar","vendredi, 11:18"
RESPONSABLE/MANAGEUR- CAISSE,Entre 100 000 et 200 000,"Mamelles, Dakar","mercredi, 12:41"
Formation en centre d'appels,Entre 100 000 et 200 000,"Fenêtre mermoz, Dakar","mercredi, 11:20"
RESPONSABLE DE SALLE DE SPORT PARLANT ANGLAIS,Entre 100 000 et 200 000,"Ngor, Dakar","mardi, 17:19"
Revendeuse sur les réseaux sociaux,Entre 100 000 et 200 000,"Ouest foire, Dakar","12. juil., 10:19"
Commercial boutique pret a porter,Entre 100 000 et 200 000,"Plateau, Dakar","samedi, 21:13"
Chrétienne Expérimenté Cuisine Ménage Repassage,Non défini,"Fann, Dakar","vendredi, 02:59"
Recherche jeune chauffeur Yango,Non défini,"Cité keur gorgui, Dakar","16. juil., 16:03"
COMMERCIAUX,Entre 300 000 et 400 000,"Keur Massar, Dakar","jeudi, 11:07"
SECRETAIRE,-100000,"Liberte 6 extension, Dakar","16. juil., 16:02"
Commercial Vente,Entre 100 000 et 200 000,"Ngor, Dakar","15. juil., 15:44"
Stage Formation et Emploi,Entre 100 000 et 200 000,"Ouest foire, Dakar","15. juil., 01:31"
Cherche technicien de surface avec permis de conduire,Entre 100 000 et 200 000,"Almadies, Dakar","12. juil., 08:21"
